price,date
450.183013916,2016-05-04T00:00:00.000Z
450.8640136719,2016-05-11T00:00:00.000Z
454.0090026855,2016-05-17T00:00:00.000Z
444.2909851074,2016-05-24T00:00:00.000Z
528.4710083008,2016-05-30T00:00:00.000Z
574.6019897461,2016-06-06T00:00:00.000Z
609.6840209961,2016-06-12T00:00:00.000Z
756.6879882813,2016-06-19T00:00:00.000Z
665.2810058594,2016-06-25T00:00:00.000Z
676.7340087891,2016-07-02T00:00:00.000Z
640.6879882813,2016-07-08T00:00:00.000Z
652.9229736328,2016-07-14T00:00:00.000Z
665.2280273438,2016-07-21T00:00:00.000Z
651.6270141602,2016-07-27T00:00:00.000Z
548.6560058594,2016-08-03T00:00:00.000Z
591.0380249023,2016-08-09T00:00:00.000Z
567.242980957,2016-08-16T00:00:00.000Z
581.3109741211,2016-08-22T00:00:00.000Z
574.0709838867,2016-08-29T00:00:00.000Z
598.5900268555,2016-09-04T00:00:00.000Z
623.4240112305,2016-09-11T00:00:00.000Z
607.2180175781,2016-09-17T00:00:00.000Z
596.1989746094,2016-09-23T00:00:00.000Z
605.7150268555,2016-09-30T00:00:00.000Z
612.4699707031,2016-10-06T00:00:00.000Z
636.0300292969,2016-10-13T00:00:00.000Z
638.133972168,2016-10-19T00:00:00.000Z
657.6779785156,2016-10-26T00:00:00.000Z
701.3369750977,2016-11-01T00:00:00.000Z
703.0889892578,2016-11-08T00:00:00.000Z
701.9970092773,2016-11-14T00:00:00.000Z
731.2650146484,2016-11-21T00:00:00.000Z
735.4370117188,2016-11-27T00:00:00.000Z
778.2479858398,2016-12-03T00:00:00.000Z
773.0230102539,2016-12-10T00:00:00.000Z
778.9630126953,2016-12-16T00:00:00.000Z
864.8880004883,2016-12-23T00:00:00.000Z
975.125,2016-12-29T00:00:00.000Z
1014.2399902344,2017-01-06T00:00:00.000Z
775.1779785156,2017-01-12T00:00:00.000Z
888.3350219727,2017-01-19T00:00:00.000Z
891.9240112305,2017-01-25T00:00:00.000Z
920.958984375,2017-01-31T00:00:00.000Z
1040.1400146484,2017-02-07T00:00:00.000Z
998.8850097656,2017-02-13T00:00:00.000Z
1048.6899414063,2017-02-20T00:00:00.000Z
1144.2700195313,2017-02-26T00:00:00.000Z
1254.2900390625,2017-03-05T00:00:00.000Z
1116.3199462891,2017-03-11T00:00:00.000Z
1099.6899414063,2017-03-18T00:00:00.000Z
1038.4499511719,2017-03-24T00:00:00.000Z
1026.6400146484,2017-03-31T00:00:00.000Z
1125.8100585938,2017-04-06T00:00:00.000Z
1204.8100585938,2017-04-12T00:00:00.000Z
1212.1300048828,2017-04-19T00:00:00.000Z
1250.4499511719,2017-04-25T00:00:00.000Z
1421.0300292969,2017-05-02T00:00:00.000Z
1596.9200439453,2017-05-08T00:00:00.000Z
1808.4399414063,2017-05-15T00:00:00.000Z
2067.0300292969,2017-05-21T00:00:00.000Z
2054.080078125,2017-05-28T00:00:00.000Z
2493.7199707031,2017-06-03T00:00:00.000Z
2828.1398925781,2017-06-10T00:00:00.000Z
2469.5700683594,2017-06-16T00:00:00.000Z
2691.0300292969,2017-06-22T00:00:00.000Z
2567.5600585938,2017-06-29T00:00:00.000Z
2602.8701171875,2017-07-05T00:00:00.000Z
2332.7700195313,2017-07-12T00:00:00.000Z
2233.5200195313,2017-07-18T00:00:00.000Z
2757.5,2017-07-25T00:00:00.000Z
2763.2399902344,2017-07-31T00:00:00.000Z
3212.7800292969,2017-08-07T00:00:00.000Z
3880.0400390625,2017-08-13T00:00:00.000Z
4189.3100585938,2017-08-20T00:00:00.000Z
4372.0600585938,2017-08-26T00:00:00.000Z
4701.759765625,2017-09-01T00:00:00.000Z
4605.16015625,2017-09-08T00:00:00.000Z
3875.3701171875,2017-09-14T00:00:00.000Z
3901.4699707031,2017-09-21T00:00:00.000Z
3892.9399414063,2017-09-27T00:00:00.000Z
4319.3701171875,2017-10-04T00:00:00.000Z
4776.2099609375,2017-10-10T00:00:00.000Z
5741.580078125,2017-10-17T00:00:00.000Z
6006,2017-10-23T00:00:00.000Z
6114.8500976563,2017-10-30T00:00:00.000Z
7404.5200195313,2017-11-05T00:00:00.000Z
6618.6098632813,2017-11-11T00:00:00.000Z
7697.2099609375,2017-11-18T00:00:00.000Z
8074.0200195313,2017-11-24T00:00:00.000Z
10198.599609375,2017-12-01T00:00:00.000Z
14266.099609375,2017-12-07T00:00:00.000Z
16384.599609375,2017-12-14T00:00:00.000Z
17760.30078125,2017-12-20T00:00:00.000Z
16163.5,2017-12-27T00:00:00.000Z
13625,2018-01-02T00:00:00.000Z
16476.19921875,2018-01-08T00:00:00.000Z
13767.2998046875,2018-01-15T00:00:00.000Z
12889.2001953125,2018-01-21T00:00:00.000Z
11475.2998046875,2018-01-28T00:00:00.000Z
8852.1201171875,2018-02-03T00:00:00.000Z
8720.080078125,2018-02-10T00:00:00.000Z
10135.7001953125,2018-02-16T00:00:00.000Z
9937.0703125,2018-02-23T00:00:00.000Z
10385,2018-03-01T00:00:00.000Z
9951.4404296875,2018-03-08T00:00:00.000Z
9214.650390625,2018-03-14T00:00:00.000Z
8619.669921875,2018-03-20T00:00:00.000Z
8200,2018-03-27T00:00:00.000Z
6844.8598632813,2018-04-02T00:00:00.000Z
7044.3198242188,2018-04-09T00:00:00.000Z
7999.330078125,2018-04-15T00:00:00.000Z
8925.0595703125,2018-04-22T00:00:00.000Z
8939.26953125,2018-04-28T00:00:00.000Z
9700.2802734375,2018-05-05T00:00:00.000Z
9052.9599609375,2018-05-11T00:00:00.000Z
8091.830078125,2018-05-18T00:00:00.000Z
7561.1201171875,2018-05-24T00:00:00.000Z
7469.7299804688,2018-05-30T00:00:00.000Z
7625.9702148438,2018-06-06T00:00:00.000Z
6905.8198242188,2018-06-12T00:00:00.000Z
6742.3901367188,2018-06-19T00:00:00.000Z
6171.9702148438,2018-06-25T00:00:00.000Z
6380.3798828125,2018-07-02T00:00:00.000Z
6857.7998046875,2018-07-08T00:00:00.000Z
6272.7001953125,2018-07-15T00:00:00.000Z
7352.7202148438,2018-07-21T00:00:00.000Z
8169.0600585938,2018-07-28T00:00:00.000Z
7562.14,2018-08-03T00:00:00.000Z
6305.56,2018-08-09T00:00:00.000Z
6294.23,2018-08-16T00:00:00.000Z
6486.25,2018-08-22T00:00:00.000Z
7091.71,2018-08-29T00:00:00.000Z
7263,2018-09-04T00:00:00.000Z
6331.88,2018-09-11T00:00:00.000Z
6514.06,2018-09-17T00:00:00.000Z
6704.77,2018-09-24T00:00:00.000Z
6604.71,2018-09-30T00:00:00.000Z
6590.68,2018-10-07T00:00:00.000Z
6278.08,2018-10-13T00:00:00.000Z
6478.07,2018-10-19T00:00:00.000Z
6468.44,2018-10-26T00:00:00.000Z
6318.14,2018-11-01T00:00:00.000Z
6522.27,2018-11-08T00:00:00.000Z
6351.24,2018-11-14T00:00:00.000Z
4465.54,2018-11-21T00:00:00.000Z
3765.95,2018-11-27T00:00:00.000Z
3886.2948763,2018-12-04T00:00:00.000Z
3612.04639531,2018-12-10T00:00:00.000Z
3236.2747733,2018-12-16T00:00:00.000Z
4020.99467354,2018-12-23T00:00:00.000Z
3932.49180904,2018-12-29T00:00:00.000Z
3851.97396457,2019-01-05T00:00:00.000Z
3674.01543102,2019-01-11T00:00:00.000Z
3677.99058389,2019-01-18T00:00:00.000Z
3584.5003014,2019-01-24T00:00:00.000Z
3485.40928952,2019-01-31T00:00:00.000Z
3469.09170088,2019-02-06T00:00:00.000Z
3653.60399078,2019-02-13T00:00:00.000Z
3911.66152075,2019-02-19T00:00:00.000Z
3807.00244566,2019-02-25T00:00:00.000Z
3845.09155774,2019-03-04T00:00:00.000Z
3966.1742332,2019-03-10T00:00:00.000Z
4047.71957111,2019-03-17T00:00:00.000Z
4022.71330744,2019-03-23T00:00:00.000Z
4092.13616358,2019-03-30T00:00:00.000Z
4922.80611783,2019-04-05T00:00:00.000Z
5061.20088735,2019-04-12T00:00:00.000Z
5251.48069196,2019-04-18T00:00:00.000Z
5466.52427676,2019-04-25T00:00:00.000Z
5350.91450555,2019-05-01T00:00:00.000Z
5745.59904909,2019-05-07T00:00:00.000Z
7807.88444936,2019-05-14T00:00:00.000Z
8196.92393539,2019-05-20T00:00:00.000Z
8674.07240318,2019-05-27T00:00:00.000Z
8565.47326214,2019-06-02T00:00:00.000Z
7949.67470562,2019-06-09T00:00:00.000Z
8689.74641372,2019-06-15T00:00:00.000Z
10175.9239561,2019-06-22T00:00:00.000Z
11162.1678255,2019-06-28T00:00:00.000Z
11203.1024876,2019-07-05T00:00:00.000Z
12139.7138379,2019-07-11T00:00:00.000Z
9471.21400074,2019-07-17T00:00:00.000Z
9887.73084418,2019-07-24T00:00:00.000Z
9522.32895542,2019-07-30T00:00:00.000Z
11811.5450274,2019-08-06T00:00:00.000Z
11528.1893667,2019-08-12T00:00:00.000Z
10350.283631,2019-08-19T00:00:00.000Z
10160.7370213,2019-08-25T00:00:00.000Z
9630.59319616,2019-09-01T00:00:00.000Z
10353.9315807,2019-09-07T00:00:00.000Z
10345.4037591,2019-09-14T00:00:00.000Z
10266.3185338,2019-09-20T00:00:00.000Z
8487.66958635,2019-09-26T00:00:00.000Z
8390.77428822,2019-10-03T00:00:00.000Z
8229.84046087,2019-10-09T00:00:00.000Z
8204.67452005,2019-10-16T00:00:00.000Z
8243.40209165,2019-10-22T00:00:00.000Z
9248.4405622,2019-10-29T00:00:00.000Z
9235.60706498,2019-11-04T00:00:00.000Z
9056.91770059,2019-11-11T00:00:00.000Z
8549.47090893,2019-11-17T00:00:00.000Z
7296.16442479,2019-11-23T00:00:00.000Z
7764.05726187,2019-11-30T00:00:00.000Z
7450.56165667,2019-12-06T00:00:00.000Z
7244.66223669,2019-12-13T00:00:00.000Z
7277.59099229,2019-12-19T00:00:00.000Z
7274.79942782,2019-12-26T00:00:00.000Z
7194.89197053,2020-01-01T00:00:00.000Z
8161.93547734,2020-01-08T00:00:00.000Z
8140.93309605,2020-01-14T00:00:00.000Z
8658.99118302,2020-01-21T00:00:00.000Z
8597.30877926,2020-01-27T00:00:00.000Z
9389.82059095,2020-02-02T00:00:00.000Z
9863.89488145,2020-02-09T00:00:00.000Z
10313.8568369,2020-02-15T00:00:00.000Z
9687.70676008,2020-02-22T00:00:00.000Z
8788.72854689,2020-02-28T00:00:00.000Z
9078.30852906,2020-03-06T00:00:00.000Z
7913.61638784,2020-03-12T00:00:00.000Z
5245.4166032,2020-03-19T00:00:00.000Z
6738.71663989,2020-03-25T00:00:00.000Z
6437.31921486,2020-04-01T00:00:00.000Z
7273.64421075,2020-04-07T00:00:00.000Z
6965.61663772,2020-04-13T00:00:00.000Z
